state_name,households,population,male_pop,female_pop,literate_pop,male_literate,female_literate,sc_population,st_population,working_pop,female_working_pop,literacy_rate,male_literacy_rate,female_literacy_rate,female_workforce_pct,sc_share,st_share,avg_household_size
Andaman And Nicobar Islands,94551.0,380581.0,202871.0,177710.0,294281.0,164377.0,129904.0,0.0,28530.0,152535.0,31646.0,77.32414387475991,81.02538066061685,73.09886894378482,17.807664171965563,0.0,7.496433085203938,4.025139871603685
Andhra Pradesh,12718976.0,49577103.0,24830513.0,24746590.0,29859982.0,16549514.0,13310468.0,8469278.0,2740133.0,23080964.0,8573546.0,60.22938048639107,66.64990771636494,53.78707935113485,34.645363260150184,17.08304335572008,5.5270131455643945,3.897884782548532
Arunachal Pradesh,270577.0,1383727.0,713912.0,669815.0,766005.0,439868.0,326137.0,0.0,951821.0,587657.0,237384.0,55.35810170647822,61.61375631730521,48.690608600882335,35.44023349730896,0.0,68.78676212865689,5.113986037246329
Assam,6305524.0,30771805.0,15715019.0,15056786.0,18818397.0,10376587.0,8441810.0,2206114.0,3868306.0,11800354.0,3390636.0,61.15467389709508,66.0297451756183,56.066480588885305,22.518989112284654,7.169270700889986,12.570942783499376,4.880134466223584
Bihar,18913565.0,104099452.0,54278157.0,49821295.0,52504553.0,31608023.0,20896530.0,16567325.0,1336573.0,34724987.0,9502798.0,50.43691584466746,58.23341238354869,41.94296836322701,19.073767552609784,15.914901261920186,1.2839385552192917,5.503957186284024
Chandigarh,241173.0,1055450.0,580663.0,474787.0,805438.0,465346.0,340092.0,199086.0,0.0,404136.0,75977.0,76.31228385996495,80.14046012919714,71.63043638515798,16.002333678049315,18.86266521388981,0.0,4.376319073859843
Chhattisgarh,5650724.0,25545198.0,12832895.0,12712303.0,15379922.0,8807893.0,6572029.0,3274269.0,7822902.0,12180225.0,5046359.0,60.20670499402666,68.63527676334918,51.698177741672765,39.69665449289558,12.817551854559905,30.623767331926725,4.520694693281781
Delhi,2153366.0,10634501.0,5702035.0,4932466.0,7980792.0,4543415.0,3437377.0,1837834.0,0.0,3459603.0,479889.0,75.04622924949652,79.68058771999821,69.68881285750373,9.729190226551992,17.281807580816437,0.0,4.938547836271215
Goa,343611.0,1458545.0,739140.0,719405.0,1165487.0,615823.0,549664.0,25449.0,149275.0,577248.0,157712.0,79.9075105670377,83.31615120274914,76.40536276506279,21.922561005275192,1.744821037403714,10.234514533319164,4.244756425143549
Gujarat,12245478.0,60422565.0,31482398.0,28940175.0,41085332.0,23469992.0,17615340.0,4074211.0,8901904.0,24760216.0,6764123.0,67.9966697871896,74.54956893690246,60.86811845470872,23.37277849909339,6.742863365697898,14.732747608447275,4.934275738358274
