sno,state_name,rural_accounts,urban_accounts,total_accounts,total_balance_crore,rupay_cards,total_balance,avg_balance_per_account,rupay_activation_ratio,rural_share,urban_share,households,population,male_pop,female_pop,literate_pop,male_literate,female_literate,sc_population,st_population,working_pop,female_working_pop,literacy_rate,male_literacy_rate,female_literacy_rate,female_workforce_pct,sc_share,st_share,avg_household_size,women_bank_account_pct,female_literacy_nfhs,male_literacy_nfhs,female_workforce_pct_nfhs,women_mobile_pct,electricity_access_pct,clean_water_pct,women_property_ownership_pct,literacy_gender_gap,Country,Year,Name Of The Region,Additional Info,"Distribution Of Offices Of Scheduled Commercial Banks (UOM:Number), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Sanction (UOM:Ratio), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Utilisation (UOM:Ratio), Scaling Factor:1","Deposits By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Agriculture By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Industry By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Personal Loans By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit-Deposit Ratio Of Regional Rural Banks (UOM:Ratio), Scaling Factor:1","Number Of Branches Of Regional Rural Banks (UOM:Number), Scaling Factor:1",accounts_per_capita
1,Andaman And Nicobar Islands,46862,17645,64507,55.44,39096,554400000.0,8594.416109879548,0.6060737594369603,0.7264637946269397,0.2735362053730603,94551.0,380581.0,202871.0,177710.0,294281.0,164377.0,129904.0,0.0,28530.0,152535.0,31646.0,77.32414387475991,81.02538066061685,73.09886894378482,17.807664171965563,0.0,7.496433085203938,4.025139871603685,89.15,86.1,92.0,25.900000000000002,80.85,98.0,96.65,15.149999999999999,5.900000000000006,,,,,,,,,,,,,,,,,0.16949611252269556
2,Andhra Pradesh,12453142,4607102,17060244,6464.17,10950935,64641700000.0,3789.0255262468695,0.6418979118938745,0.729950990149965,0.270049009850035,12718976.0,49577103.0,24830513.0,24746590.0,29859982.0,16549514.0,13310468.0,8469278.0,2740133.0,23080964.0,8573546.0,60.22938048639107,66.64990771636494,53.78707935113485,34.645363260150184,17.08304335572008,5.5270131455643945,3.897884782548532,83.15,71.4,81.35,40.5,54.150000000000006,99.5,97.4,46.0,9.949999999999989,India,"Calendar Year (Jan - Dec), 2025",Southern Region,,8087.0,151.1,157.2,529673.0,832527.0,282319.0,89275.0,290337.0,52883.0,62573.0,118.3,1367.0,0.34411538729885044
3,Arunachal Pradesh,462544,11185,473729,301.9,318210,3019000000.0,6372.841856842203,0.6717131524563622,0.9763894547304471,0.023610545269552845,270577.0,1383727.0,713912.0,669815.0,766005.0,439868.0,326137.0,0.0,951821.0,587657.0,237384.0,55.35810170647822,61.61375631730521,48.690608600882335,35.44023349730896,0.0,68.78676212865689,5.113986037246329,81.35,75.95,87.95,23.3,78.6,96.75,95.5,70.05,12.0,India,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,229.0,31.0,32.2,33114.0,10653.0,565.0,1021.0,7222.0,1511.0,515.0,34.1,34.0,0.34235727134037275
4,Assam,23230698,2602724,25833422,7838.2,16255078,78382000000.0,3034.1315215614873,0.6292266661381524,0.8992497393492818,0.10075026065071828,6305524.0,30771805.0,15715019.0,15056786.0,18818397.0,10376587.0,8441810.0,2206114.0,3868306.0,11800354.0,3390636.0,61.15467389709508,66.0297451756183,56.066480588885305,22.518989112284654,7.169270700889986,12.570942783499376,4.880134466223584,79.9,81.45,87.69999999999999,18.25,64.65,95.25,88.65,40.099999999999994,6.249999999999986,India,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,3236.0,62.7,66.0,234070.0,154473.0,16325.0,25553.0,74641.0,12705.0,8107.0,63.8,475.0,0.8395159789944073
5,Bihar,59890944,8663361,68554305,30049.94,49353085,300499400000.0,4383.377528223793,0.7199122651743023,0.8736277612325003,0.12637223876749973,18913565.0,104099452.0,54278157.0,49821295.0,52504553.0,31608023.0,20896530.0,16567325.0,1336573.0,34724987.0,9502798.0,50.43691584466746,58.23341238354869,41.94296836322701,19.073767552609784,15.914901261920186,1.2839385552192917,5.503957186284024,77.65,64.7,80.5,12.25,55.55,96.25,99.35,54.55,15.799999999999997,India,"Calendar Year (Jan - Dec), 2025",Eastern Region,,8226.0,51.4,53.5,568726.0,304440.0,69932.0,33000.0,116048.0,47805.0,30493.0,63.8,2118.0,0.6585462620879119
6,Chandigarh,50233,292349,342582,212.37,222531,2123700000.0,6199.099777571501,0.6495700299490341,0.1466305877133066,0.8533694122866934,241173.0,1055450.0,580663.0,474787.0,805438.0,465346.0,340092.0,199086.0,0.0,404136.0,75977.0,76.31228385996495,80.14046012919714,71.63043638515798,16.002333678049315,18.86266521388981,0.0,4.376319073859843,87.1,10.600000000000001,90.2,22.0,70.0,99.95,99.55,30.4,79.6,India,"Calendar Year (Jan - Dec), 2025",Northern Region,,461.0,71.9,75.0,126596.0,94919.0,8526.0,32653.0,24561.0,,,,,0.324583826803733
7,Chhattisgarh,15492663,3271115,18763778,9275.46,11499543,92754599999.99998,4943.27954636854,0.6128586151466938,0.8256686366679461,0.17433136333205393,5650724.0,25545198.0,12832895.0,12712303.0,15379922.0,8807893.0,6572029.0,3274269.0,7822902.0,12180225.0,5046359.0,60.20670499402666,68.63527676334918,51.698177741672765,39.69665449289558,12.817551854559905,30.623767331926725,4.520694693281781,79.5,76.25,83.4,35.5,47.6,99.05,96.65,45.8,7.150000000000006,India,"Calendar Year (Jan - Dec), 2025",Central Region,,3187.0,79.5,83.2,268161.0,223098.0,27918.0,57096.0,72740.0,17857.0,9994.0,56.0,629.0,0.7345324941305994
8,Delhi,640660,6370682,7011342,3838.58,5447052,38385800000.0,5474.81494983414,0.7768914995160698,0.09137480385352761,0.9086251961464724,2153366.0,10634501.0,5702035.0,4932466.0,7980792.0,4543415.0,3437377.0,1837834.0,0.0,3459603.0,479889.0,75.04622924949652,79.68058771999821,69.68881285750373,9.729190226551992,17.281807580816437,0.0,4.938547836271215,-6.25,85.69999999999999,-1.6499999999999986,3.9000000000000004,-3.6499999999999986,99.9,98.75,-2.3999999999999986,-87.35,India,"Calendar Year (Jan - Dec), 2025",Northern Region,,3981.0,91.8,88.1,2071013.0,1823669.0,50594.0,707484.0,211649.0,,,,,0.6593014566456856
9,Goa,197518,33905,231423,237.29,165692,2372900000.0,10253.51844890093,0.7159703227423376,0.8534933865691828,0.14650661343081717,343611.0,1458545.0,739140.0,719405.0,1165487.0,615823.0,549664.0,25449.0,149275.0,577248.0,157712.0,79.9075105670377,83.31615120274914,76.40536276506279,21.922561005275192,1.744821037403714,10.234514533319164,4.244756425143549,88.75,93.0,96.7,31.55,90.8,100.0,98.4,23.25,3.700000000000003,India,"Calendar Year (Jan - Dec), 2025",Western Region,,690.0,26.7,28.6,120662.0,34505.0,1675.0,5031.0,19467.0,,,,,0.1586670277571141
10,Gujarat,13484021,6313867,19797888,12567.4,15127793,125674000000.0,6347.848821045962,0.764111454716786,0.6810838105559542,0.31891618944404576,12245478.0,60422565.0,31482398.0,28940175.0,41085332.0,23469992.0,17615340.0,4074211.0,8901904.0,24760216.0,6764123.0,67.9966697871896,74.54956893690246,60.86811845470872,23.37277849909339,6.742863365697898,14.732747608447275,4.934275738358274,70.5,77.9,91.45,30.25,51.1,97.80000000000001,97.55000000000001,42.45,13.549999999999997,India,"Calendar Year (Jan - Dec), 2025",Western Region,,9513.0,79.7,88.4,1273072.0,1125894.0,106804.0,379864.0,398553.0,25038.0,17537.0,70.0,760.0,0.32765719230886675
