Country,state_name,Year,Name Of The Region,Additional Info,"Distribution Of Offices Of Scheduled Commercial Banks (UOM:Number), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Sanction (UOM:Ratio), Scaling Factor:1","Credit-Deposit Ratio Of Scheduled Commercial Banks According To Place Of Utilisation (UOM:Ratio), Scaling Factor:1","Deposits By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit By Scheduled Commercial Banks In India (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Agriculture By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit To Industry By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Personal Loans By Scheduled Commercial Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Deposits Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit Of Regional Rural Banks (UOM:INR(IndianRupees)), Scaling Factor:10000000","Credit-Deposit Ratio Of Regional Rural Banks (UOM:Ratio), Scaling Factor:1","Number Of Branches Of Regional Rural Banks (UOM:Number), Scaling Factor:1"
India,Andaman and Nicobar Islands,"Calendar Year (Jan - Dec), 2025",Eastern Region,,76.0,52.2,52.5,8549.0,4485.0,365.0,155.0,2975.0,,,,
India,Andhra Pradesh,"Calendar Year (Jan - Dec), 2025",Southern Region,,8087.0,151.1,157.2,529673.0,832527.0,282319.0,89275.0,290337.0,52883.0,62573.0,118.3,1367.0
India,Arunachal Pradesh,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,229.0,31.0,32.2,33114.0,10653.0,565.0,1021.0,7222.0,1511.0,515.0,34.1,34.0
India,Assam,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,3236.0,62.7,66.0,234070.0,154473.0,16325.0,25553.0,74641.0,12705.0,8107.0,63.8,475.0
India,Bihar,"Calendar Year (Jan - Dec), 2025",Eastern Region,,8226.0,51.4,53.5,568726.0,304440.0,69932.0,33000.0,116048.0,47805.0,30493.0,63.8,2118.0
India,Chandigarh,"Calendar Year (Jan - Dec), 2025",Northern Region,,461.0,71.9,75.0,126596.0,94919.0,8526.0,32653.0,24561.0,,,,
India,Chhattisgarh,"Calendar Year (Jan - Dec), 2025",Central Region,,3187.0,79.5,83.2,268161.0,223098.0,27918.0,57096.0,72740.0,17857.0,9994.0,56.0,629.0
India,Delhi,"Calendar Year (Jan - Dec), 2025",Northern Region,,3981.0,91.8,88.1,2071013.0,1823669.0,50594.0,707484.0,211649.0,,,,
India,Goa,"Calendar Year (Jan - Dec), 2025",Western Region,,690.0,26.7,28.6,120662.0,34505.0,1675.0,5031.0,19467.0,,,,
India,Gujarat,"Calendar Year (Jan - Dec), 2025",Western Region,,9513.0,79.7,88.4,1273072.0,1125894.0,106804.0,379864.0,398553.0,25038.0,17537.0,70.0,760.0
India,Haryana,"Calendar Year (Jan - Dec), 2025",Northern Region,,5683.0,68.4,76.2,888772.0,677485.0,74303.0,185067.0,219486.0,24055.0,17221.0,71.6,704.0
India,Himachal Pradesh,"Calendar Year (Jan - Dec), 2025",Northern Region,,1819.0,37.8,39.2,162531.0,63730.0,9946.0,10291.0,27637.0,9288.0,4327.0,46.6,279.0
India,Jammu and Kashmir,"Calendar Year (Jan - Dec), 2025",Northern Region,,1996.0,56.9,60.6,191982.0,116297.0,11211.0,12251.0,60217.0,7763.0,4984.0,64.2,336.0
India,Jharkhand,"Calendar Year (Jan - Dec), 2025",Eastern Region,,3518.0,39.3,41.1,367362.0,151096.0,18438.0,28524.0,60616.0,11570.0,6897.0,59.6,459.0
India,Karnataka,"Calendar Year (Jan - Dec), 2025",Southern Region,,11395.0,67.7,72.6,1888708.0,1371514.0,199280.0,254698.0,533675.0,55258.0,49338.0,89.3,1755.0
India,Kerala,"Calendar Year (Jan - Dec), 2025",Southern Region,,7380.0,68.8,70.8,894855.0,633196.0,131050.0,53819.0,247348.0,26827.0,27561.0,102.7,648.0
India,Ladakh,"Calendar Year (Jan - Dec), 2025",Northern Region,,103.0,43.3,44.2,9885.0,4364.0,308.0,272.0,2965.0,47.0,55.0,116.2,4.0
India,Lakshadweep,"Calendar Year (Jan - Dec), 2025",Southern Region,,17.0,12.7,12.7,1540.0,195.0,42.0,9.0,122.0,,,,
India,Madhya Pradesh,"Calendar Year (Jan - Dec), 2025",Central Region,,7949.0,78.3,81.7,673476.0,550095.0,126829.0,93981.0,178029.0,31590.0,21812.0,69.0,1343.0
India,Maharashtra,"Calendar Year (Jan - Dec), 2025",Western Region,,14832.0,98.1,85.7,5233966.0,4483171.0,170330.0,1085054.0,1160992.0,20897.0,16774.0,80.3,771.0
India,Manipur,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,261.0,76.6,79.7,16806.0,13396.0,984.0,537.0,10117.0,548.0,319.0,58.2,28.0
India,Meghalaya,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,394.0,40.3,40.7,37779.0,15391.0,849.0,2768.0,8728.0,4011.0,1518.0,37.9,93.0
India,Mizoram,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,241.0,51.5,51.8,17462.0,9049.0,842.0,622.0,5980.0,5828.0,3734.0,64.1,108.0
India,Nagaland,"Calendar Year (Jan - Dec), 2025",North-Eastern Region,,231.0,52.1,53.5,18789.0,10048.0,497.0,515.0,7635.0,167.0,79.0,47.1,14.0
India,Odisha,"Calendar Year (Jan - Dec), 2025",Eastern Region,,5920.0,48.1,51.0,583925.0,298069.0,45975.0,51831.0,96451.0,28049.0,16250.0,57.9,999.0
India,Puducherry,"Calendar Year (Jan - Dec), 2025",Southern Region,,288.0,72.0,74.6,32927.0,24561.0,6995.0,2028.0,10330.0,1288.0,1642.0,127.5,47.0
India,Punjab,"Calendar Year (Jan - Dec), 2025",Northern Region,,6952.0,58.5,61.3,668830.0,410319.0,84951.0,94347.0,131727.0,15078.0,12204.0,80.9,465.0
India,Rajasthan,"Calendar Year (Jan - Dec), 2025",Northern Region,,8786.0,88.6,94.2,741436.0,698414.0,158529.0,126119.0,238265.0,52770.0,42733.0,81.0,1615.0
India,Sikkim,"Calendar Year (Jan - Dec), 2025",Eastern Region,,185.0,43.4,43.8,16290.0,7136.0,257.0,919.0,4334.0,,,,
India,Tamil Nadu,"Calendar Year (Jan - Dec), 2025",Southern Region,,13204.0,115.4,120.5,1463026.0,1762746.0,381757.0,309938.0,503837.0,23234.0,27509.0,118.4,689.0
India,Telangana,"Calendar Year (Jan - Dec), 2025",Southern Region,,6269.0,111.6,120.5,867571.0,1045686.0,144565.0,232544.0,437202.0,28496.0,41514.0,145.7,940.0
India,The Dadra and Nagar Haveli and Daman and Diu,"Calendar Year (Jan - Dec), 2025",Western Region,Since 2020 figures for Dadra & Nagar Haveli include Daman & Diu as well,113.0,44.9,52.1,16965.0,8832.0,250.0,3090.0,3911.0,,,,
