state_name,residence_type,households,population,male_pop,female_pop,literate_pop,male_literate,female_literate,sc_population,st_population,working_pop,female_working_pop
Andaman And Nicobar Islands,Rural,58530.0,237093.0,126287.0,110806.0,178025.0,99960.0,78065.0,0.0,26715.0,94469.0,19799.0
Andaman And Nicobar Islands,Urban,36021.0,143488.0,76584.0,66904.0,116256.0,64417.0,51839.0,0.0,1815.0,58066.0,11847.0
Andhra Pradesh,Rural,9065358.0,34966693.0,17538248.0,17428445.0,19448991.0,10991426.0,8457565.0,6774090.0,2402090.0,17724038.0,7257638.0
Andhra Pradesh,Urban,3653618.0,14610410.0,7292265.0,7318145.0,10410991.0,5558088.0,4852903.0,1695188.0,338043.0,5356926.0,1315908.0
Arunachal Pradesh,Rural,200210.0,1066358.0,546011.0,520347.0,535902.0,309390.0,226512.0,0.0,789846.0,470315.0,205525.0
Arunachal Pradesh,Urban,70367.0,317369.0,167901.0,149468.0,230103.0,130478.0,99625.0,0.0,161975.0,117342.0,31859.0
Assam,Rural,5420877.0,26807034.0,13678989.0,13128045.0,15685436.0,8706193.0,6979243.0,1825761.0,3665405.0,10368283.0,3110431.0
Assam,Urban,884647.0,3964771.0,2036030.0,1928741.0,3132961.0,1670394.0,1462567.0,380353.0,202901.0,1432071.0,280205.0
Bihar,Rural,16862940.0,92341436.0,48073850.0,44267586.0,44812152.0,27241830.0,17570322.0,15344215.0,1270851.0,31359767.0,8923082.0
Bihar,Urban,2050625.0,11758016.0,6204307.0,5553709.0,7692401.0,4366193.0,3326208.0,1223110.0,65722.0,3365220.0,579716.0
Chandigarh,Rural,7140.0,28991.0,17150.0,11841.0,19961.0,12752.0,7209.0,4974.0,0.0,12350.0,1686.0
Chandigarh,Urban,234033.0,1026459.0,563513.0,462946.0,785477.0,452594.0,332883.0,194112.0,0.0,391786.0,74291.0
Chhattisgarh,Rural,4365568.0,19607961.0,9797426.0,9810535.0,11008956.0,6403012.0,4605944.0,2511949.0,7231082.0,10063114.0,4540856.0
Chhattisgarh,Urban,1285156.0,5937237.0,3035469.0,2901768.0,4370966.0,2404881.0,1966085.0,762320.0,591820.0,2117111.0,505503.0
Delhi,Rural,79574.0,419042.0,226321.0,192721.0,296600.0,174327.0,122273.0,82183.0,0.0,130227.0,18727.0
Delhi,Urban,2073792.0,10215459.0,5475714.0,4739745.0,7684192.0,4369088.0,3315104.0,1755651.0,0.0,3329376.0,461162.0
Goa,Rural,128208.0,551731.0,275436.0,276295.0,431271.0,227143.0,204128.0,9461.0,87639.0,215536.0,62550.0
Goa,Urban,215403.0,906814.0,463704.0,443110.0,734216.0,388680.0,345536.0,15988.0,61636.0,361712.0,95162.0
Gujarat,Rural,6773558.0,34694609.0,17799159.0,16895450.0,21420842.0,12467643.0,8953199.0,2281573.0,8021848.0,15570092.0,5398508.0
Gujarat,Urban,5471920.0,25727956.0,13683239.0,12044725.0,19664490.0,11002349.0,8662141.0,1792638.0,880056.0,9190124.0,1365615.0
Haryana,Rural,3043756.0,16509359.0,8774006.0,7735353.0,10158442.0,6140099.0,4018343.0,3720109.0,0.0,6003112.0,1610898.0
Haryana,Urban,1813768.0,8842103.0,4720728.0,4121375.0,6440546.0,3653968.0,2786578.0,1393506.0,0.0,2913396.0,498974.0
Himachal Pradesh,Rural,1312510.0,6176050.0,3110345.0,3065705.0,4471736.0,2437821.0,2033915.0,1606535.0,374392.0,3289384.0,1453026.0
Himachal Pradesh,Urban,170770.0,688552.0,371528.0,317024.0,568000.0,314769.0,253231.0,122717.0,17734.0,270038.0,63023.0
Jammu And Kashmir,Rural,1522381.0,8895780.0,4658363.0,4237417.0,4617265.0,2808013.0,1809252.0,750908.0,1222204.0,3020240.0,872867.0
Jammu And Kashmir,Urban,557090.0,3371233.0,1825543.0,1545690.0,2269962.0,1337523.0,932439.0,173577.0,52902.0,1175521.0,220908.0
Jharkhand,Rural,4729369.0,25055073.0,12776486.0,12278587.0,12643078.0,7682731.0,4960347.0,3152863.0,7868150.0,10777152.0,4293010.0
Jharkhand,Urban,1525412.0,7933061.0,4153829.0,3779232.0,5684991.0,3199788.0,2485203.0,832781.0,776892.0,2321122.0,380495.0
Karnataka,Rural,7946657.0,37469335.0,18929354.0,18539981.0,22649176.0,12893437.0,9755739.0,7495763.0,3429791.0,18502230.0,7190804.0
Karnataka,Urban,5410370.0,23625962.0,12037303.0,11588659.0,17998146.0,9615034.0,8383112.0,2979229.0,819196.0,9370367.0,2411677.0
Kerala,Rural,4149641.0,17471135.0,8408054.0,9063081.0,14549320.0,7132430.0,7416890.0,1818281.0,433092.0,6341957.0,1834456.0
Kerala,Urban,3704113.0,15934926.0,7619358.0,8315568.0,13586504.0,6572473.0,7014031.0,1221292.0,51747.0,5277106.0,1333038.0
Ladakh,Rural,31052.0,212280.0,116114.0,96166.0,130685.0,83736.0,46949.0,118.0,184629.0,92841.0,28208.0
Ladakh,Urban,9195.0,62009.0,40642.0,21367.0,49321.0,35399.0,13922.0,388.0,33564.0,34111.0,5640.0
Lakshadweep,Rural,2710.0,14141.0,7243.0,6898.0,11288.0,5949.0,5339.0,0.0,13463.0,4653.0,866.0
Lakshadweep,Urban,8864.0,50332.0,25880.0,24452.0,41265.0,22074.0,19191.0,0.0,47657.0,14100.0,2569.0
Madhya Pradesh,Rural,11080278.0,52557404.0,27149388.0,25408016.0,28281986.0,17054982.0,11227004.0,8268002.0,14276874.0,24715198.0,9973221.0
Madhya Pradesh,Urban,4011966.0,20067662.0,10462041.0,9605621.0,14568370.0,8118735.0,6449635.0,3074257.0,1036777.0,6858593.0,1453696.0
Maharashtra,Rural,13214738.0,61556074.0,31539034.0,30017040.0,41482761.0,23391475.0,18091286.0,7494819.0,9006077.0,30650871.0,12763800.0
