sno,state_name,rural_accounts,urban_accounts,total_accounts,total_balance_crore,rupay_cards,total_balance,avg_balance_per_account,rupay_activation_ratio,rural_share,urban_share
1,Andaman And Nicobar Islands,46862,17645,64507,55.44,39096,554400000.0,8594.416109879548,0.6060737594369603,0.7264637946269397,0.2735362053730603
2,Andhra Pradesh,12453142,4607102,17060244,6464.17,10950935,64641700000.0,3789.0255262468695,0.6418979118938745,0.729950990149965,0.270049009850035
3,Arunachal Pradesh,462544,11185,473729,301.9,318210,3019000000.0,6372.841856842203,0.6717131524563622,0.9763894547304471,0.023610545269552845
4,Assam,23230698,2602724,25833422,7838.2,16255078,78382000000.0,3034.1315215614873,0.6292266661381524,0.8992497393492818,0.10075026065071828
5,Bihar,59890944,8663361,68554305,30049.94,49353085,300499400000.0,4383.377528223793,0.7199122651743023,0.8736277612325003,0.12637223876749973
6,Chandigarh,50233,292349,342582,212.37,222531,2123700000.0,6199.099777571501,0.6495700299490341,0.1466305877133066,0.8533694122866934
7,Chhattisgarh,15492663,3271115,18763778,9275.46,11499543,92754599999.99998,4943.27954636854,0.6128586151466938,0.8256686366679461,0.17433136333205393
8,Delhi,640660,6370682,7011342,3838.58,5447052,38385800000.0,5474.81494983414,0.7768914995160698,0.09137480385352761,0.9086251961464724
9,Goa,197518,33905,231423,237.29,165692,2372900000.0,10253.51844890093,0.7159703227423376,0.8534933865691828,0.14650661343081717
10,Gujarat,13484021,6313867,19797888,12567.4,15127793,125674000000.0,6347.848821045962,0.764111454716786,0.6810838105559542,0.31891618944404576
11,Haryana,6421184,4682017,11103201,7691.68,7693682,76916800000.0,6927.443716456182,0.6929246800089451,0.5783182705599944,0.42168172944000565
12,Himachal Pradesh,1869245,131825,2001070,1545.37,1361467,15453699999.999998,7722.718345685057,0.6803695023162608,0.9341227443317826,0.0658772556682175
13,Jammu And Kashmir,2043361,411229,2454590,1840.25,1677882,18402500000.0,7497.178754904077,0.6835691500413511,0.8324652997038202,0.1675347002961798
14,Jharkhand,18430094,2026294,20456388,12616.61,13988720,126166100000.0,6167.564870200937,0.6838313782472253,0.9009456605926716,0.09905433940732841
15,Karnataka,15031173,6561046,21592219,14501.02,13465314,145010200000.0,6715.854447382179,0.62361881379584,0.6961384098595887,0.30386159014041125
16,Kerala,5618310,1809859,7428169,4218.55,4033205,42185500000.0,5679.1249633658035,0.5429608561679197,0.7563519354500416,0.2436480645499584
17,Ladakh,17644,3736,21380,26.23,14164,262300000.0,12268.475210477081,0.662488306828812,0.8252572497661366,0.17474275023386343
18,Lakshadweep,8813,1868,10681,20.7,8027,207000000.0,19380.20784570733,0.7515213931279843,0.8251100084261773,0.17488999157382268
19,Madhya Pradesh,36594915,10283365,46878280,18970.57,35025539,189705700000.0,4046.7717672235417,0.7471592174456912,0.7806368962342475,0.2193631037657525
20,Maharashtra,26653346,11312244,37965590,21653.18,27063192,216531800000.0,5703.369814613707,0.7128347537862575,0.7020395573992133,0.29796044260078663
21,Manipur,830732,258665,1089397,321.71,719020,3217100000.0,2953.101578212534,0.6600165045433392,0.762561306851405,0.23743869314859506
22,Meghalaya,845597,60381,905978,493.63,557664,4936300000.0,5448.587051782714,0.6155381256498502,0.93335268626832,0.06664731373168002
23,Mizoram,268106,172296,440402,236.2,214337,2362000000.0,5363.281728965809,0.48668489243918056,0.608775618639334,0.39122438136066595
24,Nagaland,285500,126574,412074,154.4,312522,1544000000.0,3746.899828671549,0.7584123240000582,0.6928367235011187,0.30716327649888125
25,Odisha,21102644,2747714,23850358,13809.06,17357029,138090600000.0,5789.875355330096,0.7277471055151458,0.8847935951317796,0.11520640486822042
26,Puducherry,156965,127734,284699,146.92,181550,1469199999.9999998,5160.537971682373,0.6376910350932037,0.5513366748741654,0.4486633251258347
27,Punjab,6226597,3692828,9919425,4988.79,7109626,49887900000.0,5029.313695098254,0.7167377141316155,0.6277175340304504,0.37228246596954967
28,Rajasthan,29349936,8983609,38333545,23975.89,28507041,239758900000.0,6254.545464031568,0.7436578328458795,0.7656462766488202,0.23435372335117977
29,Sikkim,74268,34267,108535,58.83,73982,588300000.0,5420.371308794398,0.6816418666789514,0.6842769613488736,0.3157230386511264
30,Tamil Nadu,11688753,7094283,18783036,7859.97,13762332,78599700000.0,4184.611050098611,0.7327000810731555,0.6223037106461383,0.3776962893538616
31,Telangana,9585559,3681382,13266941,5810.37,9162694,58103700000.0,4379.5853166151865,0.6906410452869278,0.7225146324235556,0.2774853675764443
32,The Dadra And Nagar Haveli And Daman And Diu,233002,12648,245650,196.32,176992,1963200000.0,7991.858335029514,0.7205047832281701,0.9485121107266437,0.0514878892733564
33,Tripura,1031588,126091,1157679,704.17,642387,7041700000.0,6082.6014810668585,0.5548921592254847,0.8910829340430292,0.1089170659569708
34,Uttar Pradesh,82926155,20312821,103238976,64028.48,71176180,640284800000.0,6201.967752954078,0.6894312861065185,0.8032446486102303,0.19675535138976968
35,Uttarakhand,2916043,1153758,4069801,2980.08,2751042,29800800000.0,7322.42190711536,0.6759647461878358,0.7165075147408927,0.28349248525910725
36,West Bengal,47422893,9014136,56437029,29589.67,37317708,295896700000.0,5242.953168211601,0.6612273654589437,0.8402797567533188,0.1597202432466812
